,Title,Price
208,2018 Chevrolet City Express Cargo Van~~70K Miles~~DEAL~~Finance HERE~~,"$7,995"
209,2010 Nissan Altima 2.5 SL 4dr 1OWNER 90 DAY WARRANTY!!!!,"$4,999"
210,2010 Ford Fusion SEL 111k ONE OWNER,"$8,500"
211,2009 BMW 328i  M Sport  6 Speed,"$8,995"
212,"2011 Toyota Camry LE Sedan, LOW MILES, 1 OWNER, 90 DAY WARRANTY!!!","$17,500"
213,2017 Subaru Impreza Sport Hatchback,"$3,995"
214,2005 Scion XA Hatchback For Sale,"$2,999"
215,2010 Hyundai Sonata///GLS///,"$3,600"
216,2009 nissan Altima SL//1 owner//,"$4,900"
217,Hyundai Elantra -- 58k miles -- 1 owner,"$3,699"
218,"2002 audi """"A6"""" :::Awd:::QUATTRO","$6,200"
219,"2015 KIA SOUL 4 cly, manuel transmission, Bluetooth, usp, aux.145k mik","$6,500"
220,2001 Mazda Miata,"$12,995"
221,1954 International Harvester R162 2wd,"$6,900"
222,NISSAN PATHFINDER 2011 4WD CLEAN CARFAX RUNS PERFECT,"$31,499"
223,2017 Ford F-150 F150 F 150 XLT 4WD SuperCrew 5.5 Box CONTACTLESS PRE A,"$6,950"
224,2011 Mazda 3 Touring,"$12,450"
225,2005 Toyota Tundra SR5 4x4 Access Cab,"$9,450"
226,2008 Honda CR-V EX,"$8,450"
227,2010 Honda Civic Sedan,"$4,500"
228,2008 Lincoln Navigator,"$16,950"
229,2011 Ford F-150 SuperCrew FX4 4x4,"$7,950"
230,2012 Ford Fusion SEL AWD,"$10,950"
231,2010 Lexus ES 350,"$14,500"
232,Camaro 1967   4 - speed,"$5,495"
233,2003 SAAB 9-3 LINEAR* 2.0t Sedan WOW+ *EASY FINANCING - ALL APPROVED,"$5,995"
234,2008 FORD FOCUS SE SEDAN 4 Cyl 2.0L* WOW *EASY FINANCING - ALL APPROVED,"$20,995"
235,2013 Ford* F150 XLT CREW CAB 3.5L V6 4X4 PICKUP TRUCK LOW MILES* WOW *EASY FINAN,"$6,000"
236,4x4 Japanese Mini Trucks / Dump Trucks - Street Legal in CT!,"$86,990"
237,2017 Ford F-450 SD DULLY CREW CAB,
238,Stop In or Call Us for More Information on Our 2003 Lexus ES 300,"$5,299"
239,"Wow! A 2009 Kia Spectra with 129,453 Miles","$4,399"
240,HONDA ELEMENT 2004 CLEAN CARFAX RUNS PERFECT,"$3,900"
241,"::2013::CHRYSLER::300:::Premium::""20"" inch OEM","$6,795"
242,::2015 Nissan Pathfinder SV 4WD 142k::,"$8,895"
243,2004 Chevy s10 crew cab,"$2,999"
244,2012 Acura MDX SH-AWD w/Tech Navi Camera Bluetooth 3rd Row Seats SH-AWD 4dr SUV,"$15,995"
245,2015 toyota camry le,"$4,900"
246,2018 Nissan Altima 101K One Owner Like New Condition Drives Like New,"$12,550"
247,CHEVY IMPALA 2012 LTZ RUNS PERFECT,"$3,900"
248,"► 2020 FORD TRANSIT T-250 LWB - GREAT ""ALL WHEEL DRIVE"" CARGO VAN","$40,995"
249,2013 BMW X3 xDrive28i AWD~119k Miles~Finance HERE~~DEAL~~Full-Hartford,"$10,995"
250,BROKE BUT NEED A CAR? I CAN HELP,$588
251,2007 Ford F-350 F350 F 350 SD LARIAT 4x4 Crew Cab Diesel FX4 Off-Road Pkg Lariat,"$19,995"
252,2012 Volvo Xc70//1::Owner// AWD,"$7,800"
253,2009 Audi A4 Quattro AWD 2.0T~~105K Miles~~Manual~~Finance HE-Hartford,"$8,995"
254,2012 Ford Escape Limited AWD~Leather & Sunroof~123K~Finance H-Hartford,"$7,995"
255,2010 Toyota Camry SE,"$5,500"
256,2008 Dodge Avenger SXT,"$2,900"
257,16 Ft Uhaul Box Truck for Sale Year 2006,"$4,200"
258,"✔ ☆☆ SALE ☛  17  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$13,995"
259,"✔ ☆☆ SALE ☛  18  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$6,200"
260,2012 Subaru impreaza,"$4,900"
261,2010 Subaru impreza,"$6,850"
262,2001 Ford F250 XLT 7.3L Power Stroke Turbo Diesel 4X4 Extended Super C,"$3,950"
263,2009 Audi A4 2.0T Quattro / AWD,"$8,695"
264,::2013::Ford::Explorer::XLT::4X4::,"$12,900"
265,Ford f250 Super duty 4x4 ZERO RUST 99k for miles!,"$5,750"
266,2006 Kia Amanti 67k miles!!!!!,"$6,700"
267,"2012 Nissan Maxima SV, 134k miles","$13,995"
268,"✔ ☆☆ SALE ☛  18  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$6,999"
269,2014 Chrysler Town and Country Touring,"$5,299"
270,2003 Lexus GS 300 CLEAN! 140k,"$9,995"
271,"✔ ☆☆ SALE ☛  14  Dodge Charger, Hemi, AWD/4WD, Lead Foot Gray,  5.7L !","$6,600"
272,"2013 Chevrolet Sonic,  93k miles","$7,495"
273,2011 HONDA CRZ,"$6,995"
274,2008 SUBARU IMPREZA,"$7,995"
275,"✔ ☆☆ SALE ☛  13 Ford Explorer, AWD / 4WD,  Black !!!!!","$7,495"
276,2010 SUBARU LEGACY,"$7,995"
277,2007 TOYOTA  CAMRY XLE,"$4,000"
278,1999 F350 Super Duty 7.3 with Fisher Plow PARTS TRUCK,"$2,995"
279,2005 Chevrolet Silverado 1500 For Sale Chevy Pickup V8,"$5,000"
280,2007 E-250 Van,"$6,495"
281,2013 Chevrolet Malibu LT,"$3,900"
282,2008 Jeep Patriot,"$8,500"
283,1965 Ford Falcon 2Dr,"$9,995"
284,2010 BMW 5 Series 4dr Sdn 535i xDrive AWD Automatic Gray on B-Hartford,"$13,995"
285,"✔ ☆☆ SALE ☛  16 Ford Explorer, SUV, AWD / 4WD, Blue, 3.5L Turbo, Ecobo","$10,495"
286,2010 BMW 5 Series 4dr Sdn 528i xDrive AWD Automatic-Hartford,"$14,995"
287,2013 Honda CRV EX AWD SUV One Owner,"$25,000"
288,2012 Chevy silverado 1500 LT One Owner,"$4,500"
289,2005 Toyota Camry LE,"$4,499"
290,For Sale 2008 Chevy Suburban LT 4x4,"$9,999"
291,2009 Subaru Legacy 4dr H4 Auto Special Edition CONTACTLESS PRE APPROVAL!!,"$15,995"
292,"An Impressive 2015 Audi A4 with 85,513 Miles-Hartford","$24,990"
293,2012 GMC Sierra 1500 SLE Crew Cab 4WD,"$7,495"
294,2009 TOYOTA COROLLA 1.8L 4 Cyl* Sedan* Economical* Great Safe Vehicle* *EASY FIN,"$3,500"
295,2012 Ford Fiesta S 180k,"$11,000"
296,2010 Volvo VNL Cummins ISX daycab,"$6,495"
297,2010 SUBARU IMPREZA OUTBACK SPORT * Manual Trans* Clean* Hatchback* WOW! *EASY F,"$8,495"
298,2009 SUBARU LEGACY 2.5I AWD Sedan* 4 Cyl* Clean* Ready To Go* *EASY FINANCING -,"$2,250"
299,1992 GMC 3500 HD Sealing Truck,"$69,990"
300,2018 Ford F-250 SD CREW CAB LARIAT DIESEL 4X,"$4,500"
301,2002 Lexus RX300,"$3,500"
302,2004 bmw 325ci,"$11,795"
303,2014 SUBARU OUTBACK 2.5I Premium AWD 4 Cyl* Clean* WOW* *EASY FINANCING - ALL AP,"$14,000"
304,1970 Chevy C10,"$59,990"
305,2017 Chevrolet Silverado 2500HD LTZ Crew Cab Long Box 4WD,"$5,500"
306,2010 Volkswagen CC,"$12,995"
307,2016 DODGE GRAND CARAVAN SE* Van* Clean* Must See  Drive* *EASY FINANCING -,"$14,500"
308,2016 Subaru legacy 2.5i PZEV Premium Sedan,$0
309,💥*🚗 -2013-RAM Ram Pickup 2500 Tradesman 4x4 4dr Crew Cab 6.3 ft.,"$21,000"
310,"2015 FORD EXPLORER SPORT 4WD 4DR SPORT CAR,VANS,OIL,TRUCKS,DUMP BODY ,UTILITY","$6,900"
311,2010 subaru forester,"$17,500"
312,"2012 PRICE REDUCTION !! N FRONTIER 4WD CREW CAB SWB AUTO SV CAR,VANS,OIL,TRUCKS,","$16,900"
313,2016 Isuzu NPR - GAS - Hackney Box 157k,"$12,499"
314,2017 SUBARU LEGACY AWD NICE,"$4,399"
315,2010 nissan altima 2.5 {{S}} push to start,"$39,995"
316,2016 Ford F-350 F350 F 350 SD XLT Crew Cab 4X4 Diesel w/ 9ft V SNOW PLOW 4x4 XLT,$0
317,💥🚗🚗- 2009  Chevrolet Silverado 1500-LT 4x4 2dr Regular Cab 6.5 ft.,"$10,995"
318,2012 Hyundai Tucson GLS AWD~~67K Miles!~~Reliable!~Finance HERE~DEAL~!,"$21,995"
319,2008 Ford F-350 F350 F 350 SD XLT 4x4 DUALLY DRW Diesel w/ Bed Cap Super Duty -,$500
320,1970 VW Karmann Ghia parts car,"$5,995"
321,2010 Nissan Altima 2.5S W/100K Miles!~~Reliable~~Finance HERE~~DEAL~~!,"$26,995"
322,2017 Ram ProMaster 1500 Cargo~92K~W/Roof Rack & Shelves~DEAL~Finance~!,"$12,995"
323,"✔ ☆☆ SALE ☛  16 Ford Explorer, SUV, AWD / 4WD, Blue, 3.5L Turbo, Ecobo",$588
324,"SLOW CREDIT, NO CREDIT NO PROBLEM-JUST PROVE STABLE INCOME@RESIDENCY","$24,995"
325,2015 Infiniti QX70 Base AWD,"$15,995"
326,✔ ☆☆ SALE ☛  14 FORD EXPLORER AWD / 4WD 68K MILES !!!!!,"$19,995"
327,2018 Chevrolet City Express Cargo Van~~70K Miles~~DEAL~~Finance HERE~~,"$7,995"
328,2010 Nissan Altima 2.5 SL 4dr 1OWNER 90 DAY WARRANTY!!!!,"$4,999"
329,2010 Ford Fusion SEL 111k ONE OWNER,"$8,500"
330,2009 BMW 328i  M Sport  6 Speed,"$8,995"
331,"2011 Toyota Camry LE Sedan, LOW MILES, 1 OWNER, 90 DAY WARRANTY!!!","$17,500"
332,2017 Subaru Impreza Sport Hatchback,"$3,995"
333,2005 Scion XA Hatchback For Sale,"$2,999"
334,2010 Hyundai Sonata///GLS///,"$3,600"
335,2009 nissan Altima SL//1 owner//,"$4,900"
336,Hyundai Elantra -- 58k miles -- 1 owner,"$3,699"
337,"2002 audi """"A6"""" :::Awd:::QUATTRO","$6,200"
338,"2015 KIA SOUL 4 cly, manuel transmission, Bluetooth, usp, aux.145k mik","$6,500"
339,2001 Mazda Miata,"$12,995"
340,1954 International Harvester R162 2wd,"$6,900"
341,NISSAN PATHFINDER 2011 4WD CLEAN CARFAX RUNS PERFECT,"$31,499"
342,2017 Ford F-150 F150 F 150 XLT 4WD SuperCrew 5.5 Box CONTACTLESS PRE A,"$6,950"
343,2011 Mazda 3 Touring,"$12,450"
344,2005 Toyota Tundra SR5 4x4 Access Cab,"$9,450"
345,2008 Honda CR-V EX,"$8,450"
